folder,plc,network,loss,rtt,app_neteq,neteq_v1,kNormal,kCodecPlc,kExpand,kMerge,kAccelerateSuccess,kAccelerateLowEnergy,kAccelerateFail,kPreemptiveExpandSuccess,kPreemptiveExpandLowEnergy,kPreemptiveExpandFail,kDefault
en-5_dec-6_plc_dred-0_5G-Poor_loss-20_rtt-200_03-08-2026_130935,True,5G-Poor,20,200,4.30972,4.93829,1526,463,0,0,23,0,48,82,69,40,0
en-5_dec-6_plc_dred-0_5G-Poor_loss-30_rtt-300_03-08-2026_131025,True,5G-Poor,30,300,3.89556,4.91106,1235,658,0,0,29,7,4,119,107,87,0
en-5_dec-6_plc_dred-0_5G-Poor_loss-40_rtt-400_03-08-2026_131115,True,5G-Poor,40,400,3.28771,4.89102,971,869,0,0,0,2,0,170,138,72,0
en-5_dec-6_plc_dred-0_5G-Poor_loss-50_rtt-600_03-08-2026_131205,True,5G-Poor,50,600,3.10375,4.87366,761,1004,0,0,7,3,2,196,153,116,0
en-5_dec-6_plc_dred-0_5G-Poor_loss-5_rtt-80_03-08-2026_130705,True,5G-Poor,5,80,4.81528,4.97543,1956,176,0,0,5,6,4,32,53,21,0
en-5_dec-6_plc_dred-0_5G-Poor_loss-70_rtt-900_03-08-2026_192805,True,5G-Poor,70,900,0.778611,4.8225,472,1512,0,0,12,0,6,93,93,54,0
en-5_dec-6_plc_dred-0_5G-Poor_loss-90_rtt-1200_03-08-2026_131342,True,5G-Poor,90,1200,0.416667,4.78245,241,1922,0,0,0,0,0,13,32,14,0
en-5_dec-6_plc_dred-0_Cable_loss-0_rtt-50_03-08-2026_131433,True,Cable,0,50,4.98569,4.99639,2131,7,0,0,5,0,6,22,31,12,0
en-5_dec-6_plc_dred-0_Cable_loss-10_rtt-120_03-08-2026_131613,True,Cable,10,120,4.74653,4.96655,1865,235,0,0,20,0,2,30,48,17,0
en-5_dec-6_plc_dred-0_Cable_loss-15_rtt-160_03-08-2026_131703,True,Cable,15,160,4.68972,4.96146,1784,281,0,0,21,0,71,35,53,10,0
en-5_dec-6_plc_dred-0_Cable_loss-20_rtt-200_03-08-2026_131753,True,Cable,20,200,4.45319,4.93925,1588,437,0,0,33,4,52,59,56,17,0
en-5_dec-6_plc_dred-0_Cable_loss-30_rtt-300_03-08-2026_131843,True,Cable,30,300,4.05167,4.91548,1317,628,0,0,16,14,12,111,74,38,0
en-5_dec-6_plc_dred-0_Cable_loss-40_rtt-400_03-08-2026_131933,True,Cable,40,400,3.67764,4.893,1063,781,0,0,25,27,20,132,124,77,0
en-5_dec-6_plc_dred-0_Cable_loss-50_rtt-600_03-08-2026_132023,True,Cable,50,600,4.99764,4.99822,2205,6,0,0,3,0,8,0,20,0,0
en-5_dec-6_plc_dred-0_Cable_loss-5_rtt-80_03-08-2026_131523,True,Cable,5,80,4.89757,4.98467,2025,73,0,0,19,3,24,27,44,12,0
en-5_dec-6_plc_dred-0_Cable_loss-70_rtt-900_03-08-2026_192857,True,Cable,70,900,1.02819,4.83326,545,1439,0,0,2,2,6,75,85,86,0
en-5_dec-6_plc_dred-0_Cable_loss-90_rtt-1200_03-08-2026_192948,True,Cable,90,1200,0.416667,4.79045,320,1841,0,0,12,0,0,7,49,11,0
en-5_dec-6_plc_dred-0_DSL_loss-0_rtt-50_03-08-2026_193039,True,DSL,0,50,4.98187,4.99473,2166,4,0,0,17,0,10,12,21,0,0
en-5_dec-6_plc_dred-0_DSL_loss-10_rtt-120_03-08-2026_193130,True,DSL,10,120,4.69021,4.95248,1729,222,0,0,82,8,93,30,36,16,0
en-5_dec-6_plc_dred-0_DSL_loss-15_rtt-160_03-08-2026_134249,True,DSL,15,160,4.52264,4.94679,1564,313,0,0,46,3,30,129,43,86,0
en-5_dec-6_plc_dred-0_DSL_loss-20_rtt-200_03-08-2026_134339,True,DSL,20,200,4.54347,4.94598,1621,386,0,0,20,5,5,88,50,52,0
en-5_dec-6_plc_dred-0_DSL_loss-30_rtt-300_03-08-2026_134430,True,DSL,30,300,4.04139,4.91892,1297,598,0,0,23,6,48,153,61,63,0
en-5_dec-6_plc_dred-0_DSL_loss-40_rtt-400_03-08-2026_134520,True,DSL,40,400,3.70014,4.89661,1114,781,0,0,19,16,16,141,95,58,0
en-5_dec-6_plc_dred-0_DSL_loss-50_rtt-600_03-08-2026_134610,True,DSL,50,600,3.10806,4.8679,698,974,0,0,26,19,28,217,159,117,0
en-5_dec-6_plc_dred-0_DSL_loss-5_rtt-80_03-08-2026_134109,True,DSL,5,80,4.86528,4.98012,1989,110,0,0,24,0,24,32,36,23,0
en-5_dec-6_plc_dred-0_DSL_loss-70_rtt-900_03-08-2026_134659,True,DSL,70,900,0.905139,4.8267,468,1481,0,0,0,0,0,91,97,80,0
en-5_dec-6_plc_dred-0_DSL_loss-90_rtt-1200_03-08-2026_134749,True,DSL,90,1200,0.530833,4.78764,294,1899,0,0,0,0,0,7,30,16,0
en-5_dec-6_plc_dred-0_Edge-Average_loss-0_rtt-50_03-08-2026_134839,True,Edge-Average,0,50,4.54792,4.95472,1644,44,0,0,122,19,123,163,77,53,0
en-5_dec-6_plc_dred-0_Edge-Average_loss-10_rtt-120_03-08-2026_135019,True,Edge-Average,10,120,4.31847,4.94056,1407,235,0,0,93,14,147,160,98,86,0
en-5_dec-6_plc_dred-0_Edge-Average_loss-15_rtt-160_03-08-2026_193221,True,Edge-Average,15,160,4.16201,4.9219,1341,353,2,0,78,52,88,144,103,58,0
en-5_dec-6_plc_dred-0_Edge-Average_loss-20_rtt-200_03-08-2026_135158,True,Edge-Average,20,200,4.07681,4.91163,1256,438,0,0,70,55,38,180,129,57,0
en-5_dec-6_plc_dred-0_Edge-Average_loss-30_rtt-300_03-08-2026_135250,True,Edge-Average,30,300,3.86257,4.89343,1003,657,0,0,64,30,38,171,203,72,0
en-5_dec-6_plc_dred-0_Edge-Average_loss-40_rtt-400_03-08-2026_135341,True,Edge-Average,40,400,3.48424,4.88407,819,802,0,0,24,21,2,257,208,102,0
en-5_dec-6_plc_dred-0_Edge-Average_loss-50_rtt-600_03-08-2026_135431,True,Edge-Average,50,600,2.77403,4.87201,758,1040,1,0,0,0,0,193,148,102,0
en-5_dec-6_plc_dred-0_Edge-Average_loss-5_rtt-80_03-08-2026_134929,True,Edge-Average,5,80,4.20674,4.92212,1271,142,0,0,208,16,206,214,75,85,0
en-5_dec-6_plc_dred-0_Edge-Average_loss-70_rtt-900_03-08-2026_135521,True,Edge-Average,70,900,0.915208,4.82571,467,1503,0,0,0,0,0,103,94,75,0
en-5_dec-6_plc_dred-0_Edge-Average_loss-90_rtt-1200_03-08-2026_135611,True,Edge-Average,90,1200,0.416667,4.78643,273,1880,0,0,0,0,0,10,37,14,0
en-5_dec-6_plc_dred-0_Edge-Good_loss-0_rtt-50_03-08-2026_135701,True,Edge-Good,0,50,4.55299,4.96276,1681,39,0,0,107,8,122,117,72,71,0
en-5_dec-6_plc_dred-0_Edge-Good_loss-10_rtt-120_03-08-2026_135838,True,Edge-Good,10,120,4.38646,4.94529,1547,237,0,0,76,8,30,168,92,84,0
en-5_dec-6_plc_dred-0_Edge-Good_loss-15_rtt-160_03-08-2026_135926,True,Edge-Good,15,160,4.23021,4.92259,1312,350,0,0,115,17,136,150,98,62,0
en-5_dec-6_plc_dred-0_Edge-Good_loss-20_rtt-200_03-08-2026_140014,True,Edge-Good,20,200,4.05979,4.91888,1254,398,0,0,114,2,90,175,97,87,0
en-5_dec-6_plc_dred-0_Edge-Good_loss-30_rtt-300_03-08-2026_140105,True,Edge-Good,30,300,3.89583,4.90159,1000,617,0,0,55,23,82,205,130,126,0
en-5_dec-6_plc_dred-0_Edge-Good_loss-40_rtt-400_03-08-2026_140153,True,Edge-Good,40,400,3.42701,4.87745,714,836,0,0,58,0,32,297,80,200,0
en-5_dec-6_plc_dred-0_Edge-Good_loss-50_rtt-600_03-08-2026_140243,True,Edge-Good,50,600,3.05819,4.87062,750,965,0,0,26,18,14,206,163,115,0
en-5_dec-6_plc_dred-0_Edge-Good_loss-5_rtt-80_03-08-2026_135751,True,Edge-Good,5,80,4.45562,4.94692,1620,120,0,0,135,12,124,112,87,33,0
en-5_dec-6_plc_dred-0_Edge-Good_loss-70_rtt-900_03-08-2026_140331,True,Edge-Good,70,900,0.890208,4.83016,549,1437,0,0,15,11,6,49,117,71,0
en-5_dec-6_plc_dred-0_Edge-Good_loss-90_rtt-1200_03-08-2026_140419,True,Edge-Good,90,1200,0.475,4.79147,340,1811,0,0,16,7,4,12,25,23,0
en-5_dec-6_plc_dred-0_Edge-Lossy_loss-0_rtt-50_03-08-2026_140507,True,Edge-Lossy,0,50,4.42826,4.95146,1593,65,0,0,132,15,133,141,85,63,0
en-5_dec-6_plc_dred-0_Edge-Lossy_loss-10_rtt-120_03-08-2026_140644,True,Edge-Lossy,10,120,4.29063,4.92761,1354,260,0,0,138,14,144,160,106,66,0
en-5_dec-6_plc_dred-0_Edge-Lossy_loss-15_rtt-160_03-08-2026_140732,True,Edge-Lossy,15,160,4.32375,4.92128,1315,332,0,0,101,41,100,156,141,58,0
en-5_dec-6_plc_dred-0_Edge-Lossy_loss-20_rtt-200_03-08-2026_140821,True,Edge-Lossy,20,200,4.085,4.91372,1190,448,0,0,81,27,63,204,127,94,0
en-5_dec-6_plc_dred-0_Edge-Lossy_loss-30_rtt-300_03-08-2026_140909,True,Edge-Lossy,30,300,3.94472,4.89673,996,617,0,0,77,23,74,186,188,88,0
en-5_dec-6_plc_dred-0_Edge-Lossy_loss-40_rtt-400_03-08-2026_140958,True,Edge-Lossy,40,400,3.35181,4.8779,784,813,0,0,48,25,32,228,163,124,0
en-5_dec-6_plc_dred-0_Edge-Lossy_loss-50_rtt-600_03-08-2026_141045,True,Edge-Lossy,50,600,3.02688,4.86609,700,995,0,0,23,18,17,225,159,101,0
en-5_dec-6_plc_dred-0_Edge-Lossy_loss-5_rtt-80_03-08-2026_140555,True,Edge-Lossy,5,80,4.53472,4.94856,1407,153,0,0,87,7,122,260,93,124,0
en-5_dec-6_plc_dred-0_Edge-Lossy_loss-70_rtt-900_03-08-2026_141134,True,Edge-Lossy,70,900,1.56965,4.83669,554,1354,0,0,18,2,2,102,113,86,0
en-5_dec-6_plc_dred-0_Edge-Lossy_loss-90_rtt-1200_03-08-2026_141223,True,Edge-Lossy,90,1200,0.565139,4.79112,338,1819,0,0,17,5,4,8,27,22,0
en-5_dec-6_plc_dred-0_Wifi-Average_loss-0_rtt-50_03-08-2026_141311,True,Wifi-Average,0,50,4.96861,4.99371,2102,11,0,0,13,0,13,28,40,27,0
en-5_dec-6_plc_dred-0_Wifi-Average_loss-10_rtt-120_03-08-2026_141448,True,Wifi-Average,10,120,4.72243,4.96445,1829,214,0,0,38,0,46,52,47,26,0
en-5_dec-6_plc_dred-0_Wifi-Average_loss-15_rtt-160_03-08-2026_141535,True,Wifi-Average,15,160,4.62278,4.95253,1763,326,0,0,28,8,10,46,53,15,0
en-5_dec-6_plc_dred-0_Wifi-Average_loss-20_rtt-200_03-08-2026_141626,True,Wifi-Average,20,200,4.45646,4.93897,1596,448,0,0,26,5,22,61,51,22,0
en-5_dec-6_plc_dred-0_Wifi-Average_loss-30_rtt-300_03-08-2026_141716,True,Wifi-Average,30,300,3.97792,4.91444,1240,620,0,0,30,8,36,137,86,87,0
en-5_dec-6_plc_dred-0_Wifi-Average_loss-40_rtt-400_03-08-2026_141806,True,Wifi-Average,40,400,3.54736,4.89487,981,768,0,0,31,5,54,197,103,95,0
en-5_dec-6_plc_dred-0_Wifi-Average_loss-50_rtt-600_03-08-2026_141856,True,Wifi-Average,50,600,2.97597,4.86736,685,1004,0,0,20,9,16,239,170,103,0
en-5_dec-6_plc_dred-0_Wifi-Average_loss-5_rtt-80_03-08-2026_141359,True,Wifi-Average,5,80,4.88375,4.97934,1975,106,0,0,21,5,14,39,56,20,0
en-5_dec-6_plc_dred-0_Wifi-Average_loss-70_rtt-900_03-08-2026_141946,True,Wifi-Average,70,900,0.767708,4.82527,498,1525,0,0,0,0,0,63,91,67,0
en-5_dec-6_plc_dred-0_Wifi-Average_loss-90_rtt-1200_03-08-2026_142035,True,Wifi-Average,90,1200,0.416667,4.78318,236,1898,0,0,3,0,10,13,46,6,0
en-5_dec-6_plc_dred-0_Wifi-Good_loss-0_rtt-50_03-08-2026_142125,True,Wifi-Good,0,50,4.98604,4.99612,2146,9,0,0,5,3,10,0,49,20,0
en-5_dec-6_plc_dred-0_Wifi-Good_loss-10_rtt-120_03-08-2026_142305,True,Wifi-Good,10,120,4.77431,4.97001,1906,205,0,0,21,0,12,26,54,12,0
en-5_dec-6_plc_dred-0_Wifi-Good_loss-15_rtt-160_03-08-2026_142355,True,Wifi-Good,15,160,4.60083,4.95766,1750,314,0,0,14,0,4,55,59,23,0
en-5_dec-6_plc_dred-0_Wifi-Good_loss-20_rtt-200_03-08-2026_142445,True,Wifi-Good,20,200,4.57708,4.95258,1696,388,0,0,0,0,2,61,48,30,0
en-5_dec-6_plc_dred-0_Wifi-Good_loss-30_rtt-300_03-08-2026_142535,True,Wifi-Good,30,300,3.99542,4.91551,1236,593,0,0,24,15,30,155,56,93,0
en-5_dec-6_plc_dred-0_Wifi-Good_loss-40_rtt-400_03-08-2026_142626,True,Wifi-Good,40,400,3.56278,4.89958,1094,826,0,0,0,0,0,141,105,83,0
en-5_dec-6_plc_dred-0_Wifi-Good_loss-50_rtt-600_03-08-2026_142717,True,Wifi-Good,50,600,3.24243,4.87395,751,978,0,0,3,13,0,230,147,122,0
en-5_dec-6_plc_dred-0_Wifi-Good_loss-5_rtt-80_03-08-2026_142215,True,Wifi-Good,5,80,4.86764,4.97898,1989,113,0,0,28,0,6,26,47,37,0
en-5_dec-6_plc_dred-0_Wifi-Good_loss-70_rtt-900_03-08-2026_142807,True,Wifi-Good,70,900,1.54715,4.83783,539,1381,0,0,0,0,0,89,114,96,0
en-5_dec-6_plc_dred-0_Wifi-Good_loss-90_rtt-1200_03-08-2026_142857,True,Wifi-Good,90,1200,0.467222,4.78703,284,1893,0,0,0,0,0,12,35,12,0
en-5_dec-6_plc_dred-0_Wifi-Poor_loss-0_rtt-50_03-08-2026_142947,True,Wifi-Poor,0,50,4.98153,4.99487,2150,8,0,0,12,0,0,17,36,17,0
en-5_dec-6_plc_dred-0_Wifi-Poor_loss-10_rtt-120_03-08-2026_143127,True,Wifi-Poor,10,120,4.73194,4.96484,1840,236,0,0,26,0,2,34,49,27,0
en-5_dec-6_plc_dred-0_Wifi-Poor_loss-15_rtt-160_03-08-2026_143217,True,Wifi-Poor,15,160,4.66993,4.96097,1792,290,0,0,16,0,12,41,58,33,0
en-5_dec-6_plc_dred-0_Wifi-Poor_loss-20_rtt-200_03-08-2026_193312,True,Wifi-Poor,20,200,4.39049,4.92316,1491,394,0,0,109,22,88,52,40,32,0
en-5_dec-6_plc_dred-0_Wifi-Poor_loss-30_rtt-300_03-08-2026_193402,True,Wifi-Poor,30,300,4.09396,4.91844,1349,603,0,0,38,0,58,80,55,30,0
en-5_dec-6_plc_dred-0_Wifi-Poor_loss-40_rtt-400_03-08-2026_193453,True,Wifi-Poor,40,400,3.51264,4.89173,1046,808,1,0,27,14,0,125,113,91,0
en-5_dec-6_plc_dred-0_Wifi-Poor_loss-50_rtt-600_03-08-2026_193544,True,Wifi-Poor,50,600,3.08868,4.87378,712,969,1,0,9,14,21,190,172,143,0
en-5_dec-6_plc_dred-0_Wifi-Poor_loss-5_rtt-80_03-08-2026_143037,True,Wifi-Poor,5,80,4.90014,4.98376,2024,98,0,0,12,0,18,39,41,12,0
en-5_dec-6_plc_dred-0_Wifi-Poor_loss-70_rtt-900_03-08-2026_193635,True,Wifi-Poor,70,900,0.949445,4.82686,506,1486,0,0,9,0,12,86,75,69,0
en-5_dec-6_plc_dred-0_Wifi-Poor_loss-90_rtt-1200_03-08-2026_193726,True,Wifi-Poor,90,1200,0.416667,4.78568,281,1879,3,0,12,0,2,17,42,5,0
en-5_dec-6_normal_dred-0_Cable_loss-50_rtt-600_03-08-2026_213021,False,Cable,50,600,2.74867,4.85523,431,0,1008,380,34,15,48,152,158,106,0
en-5_dec-6_normal_dred-0_DSL_loss-90_rtt-1200_03-08-2026_213112,False,DSL,90,1200,0.416667,4.77771,125,0,1908,141,8,0,10,6,27,11,0
en-5_dec-6_normal_dred-0_Edge-Good_loss-70_rtt-900_03-08-2026_213203,False,Edge-Good,70,900,0.660765,4.80689,176,0,1506,329,14,6,12,91,66,36,0
en-5_dec-6_normal_dred-0_Wifi-Average_loss-15_rtt-160_03-08-2026_213254,False,Wifi-Average,15,160,4.53319,4.93937,1409,0,330,243,34,6,24,57,53,73,0
en-5_dec-6_normal_dred-0_Wifi-Average_loss-90_rtt-1200_03-08-2026_213345,False,Wifi-Average,90,1200,0.416667,4.77429,115,0,1924,120,12,0,8,10,17,13,0
en-5_dec-6_normal_dred-0_Wifi-Poor_loss-0_rtt-50_03-08-2026_213436,False,Wifi-Poor,0,50,4.97021,4.99261,2119,0,6,4,17,6,20,14,36,23,0
en-5_dec-6_normal_dred-0_Wifi-Poor_loss-30_rtt-300_03-08-2026_213527,False,Wifi-Poor,30,300,3.78507,4.8929,838,0,676,364,30,0,8,136,58,102,0
